name,street_a,street_b,pixel_x,pixel_y,modern_x_epsg6487,modern_y_epsg6487,hue_x_epsg6487,hue_y_epsg6487,res_affine_m,res_poly2_m,res_tps_m,loo_affine_m,loo_poly2_m,loo_tps_m,hue_vs_modern_m,map1822_vs_hue_m,snap_m,n_modern_candidates,near_seam,crop,note
Charles & Biddle,CHARLES,BIDDLE,3076,1001,433116.91,181762.05,433116.23,181760.62,19.3,11.8,0.0,23.1,16.9,8.7,1.6,9.6,0.0,1,,"2950,950,3350,1250",
Calvert & Biddle,CALVERT,BIDDLE,3243,1001,433355.21,181775.61,433355.79,181773.86,4.0,11.9,0.0,4.8,16.6,20.8,1.8,21.5,0.0,1,,"2950,950,3350,1250",
Charles & Chase,CHARLES,CHASE,3076,1093,433123.69,181645.27,433122.69,181645.65,18.3,8.9,0.0,21.4,11.6,3.1,1.1,4.1,0.0,1,,"2950,950,3350,1250",
Eutaw & Madison,EUTAW,MADISON,2682,1411,432650.94,181199.30,432651.35,181195.98,7.9,11.2,0.0,8.9,14.0,34.1,3.3,35.6,0.0,2,,"2500,1300,2900,1600",
Broadway & Monument,BROADWAY,MONUMENT,4472,1499,435009.40,181209.62,434997.87,181206.30,26.3,1.3,0.0,31.1,3.1,11.0,12.0,15.6,0.0,1,,"4300,1380,4700,1680",
Charles & Centre,CHARLES,CENTRE,3078,1616,433161.65,180975.92,433158.02,180970.05,21.5,15.0,0.0,23.2,16.9,19.2,6.9,20.8,0.0,1,,"2950,1400,3350,1700",
Amity & Baltimore,AMITY,BALTIMORE,1874,2187,431659.77,180129.81,431655.15,180127.94,29.9,5.5,0.0,35.0,8.4,7.6,5.0,12.6,0.0,2,,"1750,2100,2150,2400","platted, not yet built in 1822"
Poppleton & Baltimore,POPPLETON,BALTIMORE,1928,2187,431735.55,180135.10,431736.17,180132.82,33.3,6.2,0.0,38.6,8.8,6.5,2.4,7.1,0.0,1,,"1750,2100,2150,2400","platted, not yet built in 1822"
Eutaw & Baltimore,EUTAW,BALTIMORE,2697,2190,432703.51,180192.21,432704.61,180190.09,8.7,7.2,0.0,9.2,8.0,7.5,2.4,6.1,0.0,1,,"2620,2100,2820,2270",
Charles & Baltimore,CHARLES,BALTIMORE,3088,2187,433201.05,180218.63,433202.02,180217.88,22.0,10.7,0.0,22.9,12.1,11.2,1.2,10.3,0.0,1,,"2950,2060,3250,2310",
Calvert & Baltimore,CALVERT,BALTIMORE,3260,2184,433447.28,180232.46,433446.22,180231.54,4.4,12.4,0.0,4.6,14.2,5.3,1.4,5.2,0.0,1,,"3150,2050,3450,2300",
Gay & Baltimore,GAY,BALTIMORE,3466,2185,433736.67,180249.17,433737.68,180247.84,22.6,33.1,0.0,23.5,38.0,8.4,1.7,8.6,0.0,1,x=3478,"3350,2050,3750,2350",seam at x=3478 is close
Eden & Baltimore,EDEN,BALTIMORE,4157,2074,434619.50,180430.79,434621.30,180429.48,10.5,8.0,0.0,11.3,9.0,18.0,2.2,19.7,0.0,1,,"4100,1950,4500,2250",
Caroline & Baltimore,CAROLINE,BALTIMORE,4272,2073,434751.91,180436.18,434751.67,180434.80,13.9,15.3,0.0,15.3,17.5,17.9,1.4,18.4,0.0,1,,"4100,1950,4500,2250",
Broadway & Baltimore,BROADWAY,BALTIMORE,4480,2075,435043.92,180448.56,435036.78,180449.22,12.4,9.0,0.0,13.9,10.9,19.7,7.2,15.2,0.0,1,,"4350,1980,4650,2330",
