name,region,street_a,street_b,pixel_x,pixel_y,world_x_epsg6487,world_y_epsg6487,residual_m_affine,residual_m_poly2,residual_m_tps,loo_error_m_affine,loo_error_m_poly2,loo_error_m_tps,note
Broadway & Lanvale,NE,BROADWAY (N),LANVALE (E),4474,537,434933.12,182452.05,24.2,9.8,0.0,28.1,13.3,24.4,Broadway is the sheet's 'North MARKET STREET'; both names printed
Wolfe & Lanvale,NE,WOLFE (N),LANVALE (E),4713,537,435222.78,182467.72,26.8,9.5,0.0,31.5,13.9,18.8,
Chester & Federal,NE,CHESTER (N),FEDERAL (E),4901,624,435493.20,182365.34,22.8,12.2,0.0,26.8,18.1,25.7,
Charles & Biddle,N,CHARLES (N),BIDDLE (W),3069,979,433116.23,181760.62,8.1,19.6,0.0,8.6,22.9,13.0,
St Paul & Biddle,N,SAINT PAUL,BIDDLE (E),3157,979,433255.01,181768.29,17.7,11.7,0.0,18.9,13.6,24.3,"St Paul name read one block south, on the same straight run"
Charles & Chase,N,CHARLES (N),CHASE (W),3069,1069,433122.69,181645.65,7.8,17.9,0.0,8.2,20.6,8.5,
Charles & Eager,N,CHARLES (N),EAGER (W),3069,1176,433131.32,181492.07,18.4,23.9,0.0,19.3,27.3,11.8,
Charles & Madison,N,CHARLES (N),MADISON (W),3067,1385,433146.38,181223.75,14.4,17.7,0.0,14.9,20.0,9.6,
Broadway & Madison,NE,BROADWAY (N),MADISON (E),4472,1380,434991.10,181325.96,4.2,2.6,0.0,4.5,2.9,0.8,
Broadway & Monument,NE,BROADWAY (N),MONUMENT (E),4472,1472,434997.87,181206.30,4.0,4.3,0.0,4.3,4.8,3.3,
Fulton & Mosher,NW,FULTON (N),MOSHER,1088,1204,430545.41,181356.06,8.3,7.1,0.0,9.3,9.2,5.6,
Gilmor & Mosher,NW,GILMOR (N),MOSHER,1278,1204,430793.20,181367.64,8.5,7.8,0.0,9.4,9.5,8.1,
Carey & Mosher,NW,CAREY (N),MOSHER,1530,1204,431157.11,181384.66,30.4,28.5,0.0,33.3,33.2,13.0,
Fulton & Lanvale,NW,FULTON (N),LANVALE (W),1088,1394,430557.84,181101.32,7.6,4.4,0.0,8.5,5.2,4.7,
Gilmor & Lanvale,NW,GILMOR (N),LANVALE (W),1278,1394,430805.49,181113.38,8.5,7.1,0.0,9.4,8.1,7.7,
Carey & Lanvale,NW,CAREY (N),LANVALE (W),1530,1394,431169.33,181131.11,25.8,25.7,0.0,27.9,28.3,7.2,
Fulton & Baltimore,W,FULTON,BALTIMORE,1083,2175,430608.45,180064.97,23.2,12.2,0.0,25.6,16.3,17.4,"cross street identified by tracing the labelled, dead-straight Fulton St down from the NW grid; the block gap is visible at this x"
Mount & Baltimore,W,MOUNT,BALTIMORE,1186,2175,430730.47,180072.31,32.7,21.6,0.0,35.8,27.6,6.5,same tracing method as Fulton & Baltimore
Gilmor & Baltimore,W,GILMOR,BALTIMORE,1276,2175,430853.43,180079.70,27.3,17.4,0.0,29.7,21.5,0.4,same tracing method as Fulton & Baltimore
Carey & Baltimore,W,CAREY,BALTIMORE,1527,2175,431218.95,180101.68,16.2,18.6,0.0,17.4,21.9,25.0,same tracing method as Fulton & Baltimore
Eutaw & Baltimore,C,EUTAW,BALTIMORE,2669,2169,432704.61,180190.09,6.3,9.5,0.0,6.5,10.7,18.7,
Charles & Baltimore,C,CHARLES,BALTIMORE,3060,2164,433202.02,180217.88,7.7,14.8,0.0,7.9,16.6,19.3,
Gay & Baltimore,C,GAY (S),BALTIMORE,3446,2166,433737.68,180247.84,24.0,24.5,0.0,24.6,27.1,12.7,
Light & Pratt,C,LIGHT,PRATT (E),3133,2424,433339.85,179885.92,13.1,11.1,0.0,13.5,12.2,11.0,
Gay & Pratt,C,GAY (S),PRATT (E),3446,2422,433760.30,179907.80,24.3,21.5,0.0,25.0,23.2,5.1,
Broadway & Baltimore,E,BROADWAY (S),BALTIMORE (E),4465,2059,435036.78,180449.22,5.5,18.1,0.0,5.8,19.8,25.5,
Chester & Baltimore,E,CHESTER (S),BALTIMORE (E),4879,2058,435591.81,180479.15,13.9,29.5,0.0,15.0,34.7,30.4,
Broadway & Pratt,E,BROADWAY (S),PRATT (E),4468,2232,435051.21,180193.95,25.4,12.8,0.0,26.8,14.1,17.8,
Wolfe & Pratt,E,WOLFE (S),PRATT (E),4698,2232,435343.72,180210.64,26.6,12.9,0.0,28.3,14.6,4.6,
Washington & Pratt,E,WASHINGTON (S),PRATT (E),4779,2232,435454.54,180216.69,23.4,8.5,0.0,25.0,9.8,7.4,
Wolfe & Bank,E,WOLFE (S),BANK,4692,2467,435359.51,179918.95,12.6,6.2,0.0,13.5,7.2,27.9,
Ann & Aliceanna,E,ANN (S),ALICEANNA,4616,2716,435266.61,179572.76,34.3,26.8,0.0,37.0,32.8,25.2,
Bond & Aliceanna,E,BOND (S),ALICEANNA,4336,2716,434926.05,179550.25,28.9,24.0,0.0,30.8,27.1,18.6,
Charles & York,S,CHARLES,YORK (E),3040,2853,433245.24,179310.29,10.4,12.4,0.0,11.0,13.3,20.1,
Light & Hughes,S,LIGHT,HUGHES (E),3158,2939,433413.17,179227.54,16.6,10.7,0.0,17.5,11.5,7.3,sheet prints this as 'Great Hughes'
Light & Montgomery,S,LIGHT,MONTGOMERY (E),3159,2994,433417.62,179154.64,14.7,7.8,0.0,15.6,8.4,4.0,sheet prints this as 'Great Montgomery'
William & Montgomery,S,WILLIAM,MONTGOMERY (E),3261,2994,433544.58,179162.23,12.9,6.2,0.0,13.7,6.7,12.8,
Hanover & Hamburg,S,HANOVER,HAMBURG (W),2962,3163,433166.38,178914.83,4.6,9.1,0.0,4.9,10.2,3.0,
Hanover & Cross,S,HANOVER,CROSS (W),2962,3257,433173.11,178794.15,6.2,10.9,0.0,6.7,12.7,4.5,
Charles & Cross,S,CHARLES,CROSS (E),3043,3257,433273.22,178808.21,16.1,7.7,0.0,17.5,8.9,7.1,
Light & Cross,S,LIGHT,CROSS (E),3172,3257,433448.72,178832.87,31.8,15.7,0.0,34.6,18.3,5.1,
Light & West,S,LIGHT,WEST (E),3172,3347,433460.71,178717.27,34.1,14.1,0.0,37.4,17.4,7.0,
