name,region,modern_street_a,modern_street_b,pixel_x,pixel_y,world_x_epsg6487,world_y_epsg6487,lon_wgs84,lat_wgs84,fit_resid_affine_m,fit_resid_poly2_m,fit_resid_tps_m,loo_err_affine_m,loo_err_poly2_m,loo_err_tps_m,hue_offset_m,note
Charles & Baltimore,core,CHARLES,BALTIMORE,6748.0,4415.0,433201.03,180218.63,-76.615149,39.289535,8.1,7.8,0.00,8.3,8.3,8.0,1.2,"sheet join runs down Charles St here, so x is the weaker coordinate"
Calvert & Baltimore,core,CALVERT,BALTIMORE,7135.0,4410.0,433447.27,180232.47,-76.612294,39.289650,5.5,3.6,0.00,5.6,3.9,3.5,1.4,
Gay & Baltimore,core,GAY,BALTIMORE,7587.0,4407.0,433736.64,180249.17,-76.608939,39.289790,4.6,3.5,0.00,4.7,3.8,7.5,1.7,
Eutaw & Baltimore,core,EUTAW,BALTIMORE,5915.0,4435.0,432703.48,180192.21,-76.620918,39.289316,17.7,17.9,0.00,18.3,18.9,7.9,2.4,
Greene & Baltimore,core,GREENE,BALTIMORE,5545.0,4448.0,432465.54,180179.28,-76.623677,39.289208,16.6,16.2,0.00,17.2,17.1,11.3,2.7,
Paca & Pratt,core,PACA,PRATT,5748.0,4956.0,432605.22,179854.8,-76.622073,39.286280,7.6,7.5,0.00,7.9,7.8,15.3,5.8,
Paca & Lexington,core,PACA,LEXINGTON,5734.0,4008.0,432572.53,180428.4,-76.622425,39.291448,20.0,18.7,0.00,20.7,19.9,11.7,3.6,market house sits in the street; corridor centre taken
Eutaw & Lexington,core,EUTAW,LEXINGTON,5906.0,4008.0,432690.24,180435.22,-76.621060,39.291505,25.7,24.0,0.00,26.5,25.6,9.8,4.5,1851 sheet labels this stretch Louisiana St (Gunby: became part of Lexington)
Charles & Franklin,core,CHARLES,FRANKLIN,6740.0,3413.0,433166.77,180837.53,-76.615516,39.295111,11.9,9.9,0.00,12.2,10.6,19.4,3.3,Unitarian Church on the NW corner confirms the crossing; sheet join in x
Eutaw & Monument,core,EUTAW,MONUMENT,5915.0,2975.0,432656.77,181080.21,-76.621417,39.297316,17.9,15.2,0.00,18.6,16.5,9.6,4.3,
Poppleton & Baltimore,west,POPPLETON,BALTIMORE,4389.0,4468.0,431735.51,180135.1,-76.632141,39.288837,16.8,9.2,0.00,17.7,9.9,1.2,2.4,
Carey & Baltimore,west,CAREY,BALTIMORE,3560.0,4490.0,431217.0,180103.4,-76.638152,39.288570,23.5,8.6,0.00,25.4,9.9,9.1,2.6,
Gilmor & Baltimore,west,GILMOR,BALTIMORE,2989.0,4485.0,430851.51,180080.45,-76.642390,39.288376,15.5,10.7,0.00,17.0,13.7,3.0,2.1,
Stricker & Baltimore,west,STRICKER,BALTIMORE,3181.0,4483.0,430973.2,180087.93,-76.640979,39.288439,15.5,7.8,0.00,16.9,9.6,2.7,1.2,
Carey & Lexington,west,CAREY,LEXINGTON,3558.0,4043.0,431205.23,180357.66,-76.638277,39.290861,4.6,14.8,0.00,4.9,17.0,17.4,4.0,
Carey & Pratt,west,CAREY,PRATT,3561.0,5027.0,431234.15,179772.12,-76.637969,39.285586,26.9,11.4,0.00,29.3,13.9,5.1,3.8,
Scott & Pratt,west,SCOTT,PRATT,4803.0,4991.0,432007.08,179821.8,-76.629008,39.286005,16.7,12.5,0.00,17.7,13.3,7.2,4.9,
Caroline & Baltimore,east,CAROLINE,BALTIMORE,9216.0,4196.0,434751.89,180436.19,-76.597162,39.291434,6.0,5.9,0.00,6.1,6.3,2.2,1.4,
Bond & Baltimore,east,BOND,BALTIMORE,9412.0,4196.0,434872.21,180441.2,-76.595767,39.291475,3.6,3.1,0.00,3.7,3.3,0.8,2.7,
Broadway & Baltimore,east,BROADWAY,BALTIMORE,9680.0,4199.0,435036.54,180448.09,-76.593861,39.291530,3.6,3.3,0.00,3.7,3.5,2.5,1.2,
Castle & Baltimore,east,CASTLE,BALTIMORE,10456.0,4199.0,435522.05,180474.5,-76.588232,39.291748,6.8,3.4,0.00,7.0,3.6,6.2,0.9,
Chester & Baltimore,east,CHESTER,BALTIMORE,10576.0,4198.0,435592.15,180479.11,-76.587419,39.291787,9.5,8.5,0.00,9.9,9.2,6.1,0.3,
Patterson Park & Baltimore,east,PATTERSON PARK,BALTIMORE,10934.0,4197.0,435825.89,180492.4,-76.584709,39.291897,9.5,1.4,0.00,10.0,1.5,7.8,0.6,1851 name Gist St (Gunby: Patterson Park Ave was Gist St)
Rose & Baltimore,east,ROSE,BALTIMORE,11422.0,4196.0,436132.52,180509.21,-76.581154,39.292036,11.4,4.2,0.00,12.1,4.9,0.3,1.1,same name on the 1851 sheet
