label,street_a,street_b,pixel_x,pixel_y,world_x_epsg6487,world_y_epsg6487,n_candidates,fit_resid_m_affine,fit_resid_m_poly2,fit_resid_m_tps,loo_err_m_affine,loo_err_m_poly2,loo_err_m_tps,hue_minus_osm_east_m,hue_minus_osm_north_m,hue_vs_osm_m
Charles & Baltimore,CHARLES (N),BALTIMORE,12020,6074,433201.09,180217.20,1,25.20,22.20,0.00,25.88,24.47,22.95,0.92,0.68,1.15
Eutaw & Baltimore,EUTAW,BALTIMORE,11723,6075,432703.51,180191.07,1,36.18,24.61,0.00,37.18,27.15,9.26,1.10,-0.98,1.47
Howard & Baltimore,HOWARD,BALTIMORE,11798,6075,432836.68,180196.72,2,27.40,24.66,0.00,28.14,27.23,8.51,-7.29,0.34,7.30
Paca & Lombard,PACA,LOMBARD (W),11652,6179,432597.22,179986.00,1,29.98,7.66,0.00,30.87,8.46,5.94,-1.32,-2.74,3.04
Eutaw & Lombard,EUTAW,LOMBARD (W),11723,6179,432713.38,179991.79,1,30.16,6.08,0.00,31.01,6.72,7.99,1.86,-2.41,3.05
Calvert & Pratt,CALVERT (S),PRATT (E),12158,6249,433461.56,179892.53,1,20.40,30.77,0.00,21.00,33.73,34.39,5.29,-0.00,5.29
St Paul & Chase,SAINT PAUL,CHASE (E),12092,5224,433261.07,181652.34,1,17.54,21.96,0.00,19.51,27.50,11.39,0.29,0.86,0.91
Calvert & Biddle,CALVERT (N),BIDDLE (E),12156,5164,433354.91,181775.99,1,6.24,16.46,0.00,7.03,22.08,16.23,0.88,-2.13,2.31
St Paul & Madison,SAINT PAUL,MADISON (E),12092,5468,433283.87,181232.03,1,17.44,28.90,0.00,18.67,32.08,3.97,0.78,-0.52,0.94
Howard & Centre,HOWARD (N),CENTRE (W),11792,5615,432794.16,180958.84,1,8.48,23.78,0.00,8.90,25.93,10.27,-4.13,-7.61,8.66
Howard & Madison,HOWARD (N),MADISON (W),11795,5468,432780.61,181204.29,2,16.36,21.41,0.00,17.46,23.75,4.46,-3.72,-1.27,3.93
Eutaw & Madison,EUTAW (N),MADISON (W),11719,5468,432651.15,181197.26,1,18.98,18.88,0.00,20.27,20.97,4.65,0.20,-1.28,1.29
Broadway & Monument,BROADWAY,MONUMENT (E),13125,5540,434986.12,181206.21,2,19.26,28.44,0.00,21.66,37.33,17.06,11.75,0.09,11.75
Wolfe & Monument,WOLFE,MONUMENT (E),13296,5533,435290.84,181224.25,1,44.40,22.10,0.00,50.89,32.98,18.59,-1.88,-1.78,2.59
Broadway & Baltimore,BROADWAY,BALTIMORE (E),13124,5996,435027.46,180448.14,2,10.77,12.71,0.00,11.63,14.13,7.69,9.32,1.08,9.39
Wolfe & Baltimore,WOLFE,BALTIMORE (E),13296,5990,435329.28,180464.54,1,27.07,5.38,0.00,29.71,6.27,8.74,0.67,0.42,0.79
Caroline & Baltimore,CAROLINE,BALTIMORE (E),12950,5998,434751.64,180435.75,1,22.59,19.27,0.00,24.08,20.93,17.78,0.02,-0.95,0.95
Broadway & Pratt,BROADWAY,PRATT (E),13124,6146,435042.78,180194.36,2,13.85,8.15,0.00,14.90,9.08,7.12,8.43,-0.41,8.44
Broadway & Eastern,BROADWAY,EASTERN,13124,6392,435063.13,179786.71,2,26.96,13.65,0.00,29.10,15.85,20.06,11.04,0.67,11.06
Broadway & Lancaster,BROADWAY,LANCASTER,13124,6578,435074.74,179452.09,3,13.10,12.42,0.00,14.30,15.48,30.57,2.22,0.96,2.42
Wolfe & Eastern,WOLFE,EASTERN,13296,6383,435365.14,179804.29,1,25.71,6.70,0.00,28.15,8.26,31.94,-0.05,1.02,1.02
Bond & Aliceanna,BOND (S),ALICEANNA,13020,6516,434925.05,179551.96,1,25.79,22.51,0.00,27.80,26.32,28.72,1.01,-1.71,1.98
Monroe & Baltimore,MONROE,BALTIMORE (W),10291,6070,430459.39,180055.01,1,75.40,30.00,0.00,84.76,38.20,8.21,-1.28,0.93,1.58
Monroe & Lombard,MONROE,LOMBARD (W),10291,6192,430471.14,179833.10,1,73.36,19.84,0.00,82.79,26.75,7.52,-2.22,-2.31,3.20
Monroe & Pratt,MONROE,PRATT (W),10291,6247,430475.81,179722.15,1,73.99,16.48,0.00,83.72,23.11,13.62,-1.60,-1.51,2.20
Fulton & Franklin,FULTON,FRANKLIN (W),10379,5695,430580.40,180692.57,1,89.55,70.19,0.00,100.51,89.20,71.12,-2.56,-0.71,2.66
Calhoun & Lanvale,CALHOUN,LANVALE (W),10760,5485,431049.09,181128.19,1,58.42,42.74,0.00,64.54,53.30,28.45,-0.23,-2.95,2.96
Carey & Mulberry,CAREY,MULBERRY (W),10840,5760,431194.83,180618.01,1,58.87,54.59,0.00,63.25,59.80,52.37,-0.63,-2.78,2.85
Stricker & Mosher,STRICKER,MOSHER,10688,5330,430914.72,181374.27,1,51.31,38.95,0.00,58.11,60.23,36.13,-1.01,-0.99,1.41
Poppleton & Baltimore,POPPLETON,BALTIMORE (W),11146,6070,431734.87,180133.97,1,52.83,42.18,0.00,55.31,45.77,37.02,1.31,-1.15,1.74
Poppleton & Lombard,POPPLETON,LOMBARD (W),11146,6179,431746.29,179914.02,1,56.08,46.39,0.00,58.81,50.80,19.90,-0.80,-1.33,1.55
Poppleton & Pratt,POPPLETON,PRATT (W),11146,6249,431751.99,179804.82,1,54.19,47.59,0.00,56.96,52.51,23.72,-0.07,-3.94,3.94
