source_id,row,category,subtype
1819,26,business,service
1819,31,business,food
1819,71,business,food
1819,79,business,retail
1819,98,business,street trade
1819,112,business,food
1819,120,business,service
1819,121,business,service
1819,130,business,service
1819,142,business,food
1819,149,business,service
1819,185,business,food
1819,196,business,service
1819,201,business,retail
1819,216,business,service
1819,220,business,lodging
1819,228,business,retail
1819,261,business,service
1819,277,business,service
1819,305,business,service
1819,308,business,service
1819,309,business,food
1819,312,business,service
1819,318,business,service
1819,322,business,service
1819,351,business,food
1819,354,business,food
1819,378,business,service
1819,379,business,retail
1819,383,business,service
1819,405,business,street trade
1819,406,business,food
1819,419,business,service
1819,469,business,service
1819,470,business,service
1819,485,business,food
1819,500,business,food
1819,503,business,street trade
1819,513,business,service
1822,2,business,retail
1822,8,business,lodging
1822,20,business,food
1822,28,business,service
1822,39,business,service
1822,60,business,service
1822,101,business,service
1822,102,business,retail
1822,123,business,retail
1822,129,business,retail
1822,163,business,retail
1822,238,business,lodging
1822,261,business,retail
1822,303,business,retail
1822,309,business,service
1822,326,business,service
1822,332,business,retail
1822,348,business,service
1822,356,business,service
1822,366,business,service
1822,367,business,service
1822,371,business,food
1822,395,business,food
1822,399,business,service
1822,402,business,lodging
1822,434,business,lodging
1822,500,business,food
1822,501,business,service
1822,534,business,service
1822,541,business,street trade
1822,560,business,service
1822,561,business,food
1822,563,business,service
1822,595,business,service
1822,598,business,retail
1822,612,business,service
1822,614,business,service
1822,619,business,service
1822,667,business,service
1822,692,business,retail
1822,710,business,service
1822,712,business,retail
1822,718,business,food
1822,745,business,service
1822,763,business,service
1822,815,business,food
1822,824,business,service
1822,842,business,retail
1822,874,business,street trade
1822,943,business,retail
1822,952,business,service
1822,969,business,service
1842,9,business,street trade
1842,38,business,service
1842,41,business,service
1842,45,business,service
1842,47,business,food
1842,78,business,service
1842,101,business,street trade
1842,127,business,service
1842,147,business,food
1842,159,business,street trade
1842,183,business,service
1842,230,business,lodging
1842,253,business,service
1842,277,business,street trade
1842,302,business,street trade
1842,322,business,service
1842,339,business,service
1842,362,business,street trade
1842,371,business,service
1842,385,business,service
1842,445,business,food
1842,532,business,food
1842,553,business,service
1842,561,business,street trade
1842,586,business,service
1842,590,business,service
1842,599,business,food
1842,634,business,retail
1842,666,business,service
1842,671,business,service
1842,686,business,service
1842,693,business,retail
1842,743,business,service
1842,751,business,retail
1842,764,business,food
1842,776,business,retail
1842,788,business,lodging
1842,797,business,street trade
1842,811,business,food
1842,835,business,service
1842,896,business,retail
1842,900,business,food
1842,901,business,street trade
1842,916,business,street trade
1842,920,business,service
1842,960,business,food
1842,961,business,service
1842,981,business,service
1842,990,business,street trade
1842,994,business,service
1842,1013,business,lodging
1842,1019,business,street trade
1842,1020,business,service
1842,1038,business,street trade
1842,1053,business,service
1842,1143,business,food
1842,1226,business,food
1842,1244,business,service
1842,1278,business,street trade
1842,1281,business,service
1842,1282,business,service
1842,1284,business,food
1842,1348,business,retail
1842,1376,business,street trade
1842,1396,business,service
1842,1407,business,service
1842,1410,business,food
1842,1456,business,retail
1842,1458,business,street trade
1842,1470,business,street trade
1842,1472,business,street trade
1842,1484,business,street trade
1842,1487,business,street trade
1842,1502,business,service
1842,1513,business,service
1842,1575,business,service
1842,1581,business,service
1842,1601,business,service
1842,1602,business,service
1842,1696,business,street trade
1842,1754,business,service
1842,1767,business,service
1842,1812,business,service
1842,1818,business,service
1842,1851,business,street trade
1842,1884,business,service
1842,1924,business,lodging
1842,2006,business,street trade
1842,2033,business,service
1842,2035,business,food
1842,2057,business,service
1842,2091,business,street trade
1842,2103,business,service
1842,2106,business,service
1842,2132,business,street trade
1842,2167,business,food
1842,2212,business,street trade
1842,2214,business,food
1842,2221,business,street trade
1842,2232,business,street trade
1842,2234,business,street trade
1842,2277,business,street trade
1842,2279,business,street trade
1842,2294,business,street trade
1842,2460,business,service
1842,2472,business,service
1842,2511,institution,church
1842,2515,business,street trade
1842,2518,business,service
1842,2526,business,service
1842,2548,business,service
1842,2556,business,service
1842,2596,business,service
1842,2641,business,retail
1842,2670,business,street trade
1842,2691,business,service
1842,2692,business,service
1842,2719,business,street trade
1845,35,business,service
1845,45,business,lodging
1845,142,business,food
1845,155,business,lodging
1845,201,business,service
1845,273,business,retail
1845,444,business,street trade
1845,446,business,street trade
1845,459,business,service
1845,482,business,food
1845,495,business,lodging
1845,512,business,service
1845,529,business,service
1845,531,business,retail
1845,561,business,service
1845,564,business,service
1845,569,business,service
1845,583,business,lodging
1845,595,business,retail
1845,635,business,service
1845,661,business,retail
1845,666,business,street trade
1845,710,business,food
1845,729,business,retail
1845,751,business,service
1845,779,business,service
1845,883,business,lodging
1845,900,business,retail
1845,942,business,service
1845,1076,business,street trade
1845,1097,business,street trade
1845,1132,business,street trade
1845,1135,business,retail
1845,1140,business,service
1845,1158,institution,church
1845,1195,business,service
1845,1196,business,service
1845,1255,business,service
1845,1258,business,street trade
1845,1301,business,service
1845,1321,business,lodging
1845,1326,business,service
1845,1355,business,street trade
1845,1378,business,service
1845,1411,business,service
1845,1448,business,service
1845,1467,business,lodging
1845,1490,business,service
1845,1495,business,service
1845,1522,business,service
1845,1603,business,street trade
1845,1622,business,street trade
1845,1630,business,service
1845,1673,business,food
1845,1778,business,retail
1845,1788,business,street trade
1845,1875,business,service
1845,1896,business,service
1845,1938,business,street trade
1845,1959,business,service
1845,2014,business,service
1845,2019,business,service
1845,2066,business,food
1845,2092,business,service
1845,2093,business,retail
1845,2099,business,street trade
1851,13,business,service
1851,39,business,service
1851,69,business,street trade
1851,195,business,street trade
1851,201,business,street trade
1851,221,business,food
1851,247,business,service
1851,281,business,retail
1851,344,business,service
1851,345,business,service
1851,346,business,service
1851,347,business,service
1851,422,business,street trade
1851,442,business,retail
1851,451,business,service
1851,516,business,retail
1851,532,business,service
1851,551,business,street trade
1851,576,business,service
1851,592,business,service
1851,658,business,food
1851,667,business,food
1851,688,business,lodging
1851,692,business,retail
1851,774,business,service
1851,778,business,service
1851,816,business,service
1851,833,business,service
1851,838,business,service
1851,851,business,food
1851,902,business,food
1851,952,business,retail
1851,954,business,service
1851,984,business,service
1851,1051,business,service
1851,1075,business,service
1851,1117,business,lodging
1851,1192,business,retail
1851,1303,business,service
1851,1337,business,food
1851,1369,business,service
1851,1428,business,street trade
1851,1505,business,retail
1851,1513,business,retail
1851,1541,business,service
1851,1630,business,retail
1851,1693,business,service
1851,1732,business,service
1851,1742,business,food
1851,1745,business,service
1851,1762,business,service
1851,1814,business,service
1851,1856,business,service
1851,1870,business,service
1851,1899,business,street trade
1851,1901,business,service
1851,1965,business,retail
1851,1976,business,service
1851,2053,business,food
1851,2081,business,retail
1851,2117,business,service
1851,2123,business,service
1851,2162,business,service
1851,2163,business,service
1851,2270,business,service
1851,2297,business,food
1851,2357,institution,church
1851,2365,business,service
1851,2377,business,service
1851,2388,business,service
1851,2389,business,lodging
1851,2425,business,service
1851,2442,business,food
1851,2447,business,service
1851,2558,business,service
1851,2571,business,service
1851,2607,business,retail
1851,2665,business,service
1851,2695,business,retail
1851,2700,business,retail
1851,2713,business,retail
1851,2754,business,retail
1851,2794,business,food
1851,2803,business,service
1851,2821,business,service
1851,2832,business,food
1851,2851,business,service
1851,2895,business,retail
1851,2896,business,retail
1851,2929,business,street trade
1851,3033,business,lodging
1851,3072,business,food
1851,3101,business,retail
1851,3163,business,food
1851,3243,business,street trade
1851,3494,business,service
1851,3504,business,service
1851,3596,business,service
1860,23,institution,church
1860,24,institution,church
1860,37,business,retail
1860,66,business,service
1860,164,business,service
1860,176,business,street trade
1860,254,business,street trade
