old,new,relation,raw
JACKSON,ABBOTSTON,was,Abbotston St: was Jackson St
ABEY,COMPTON,now,Abey Alley: now Compton St
ACCOMODATION,AETNA OR,see,Accomodation Alley: see Aetna Alley or Lane
AETNA OR,ACCOMODATION,see,Accomodation Alley: see Aetna Alley or Lane
ADAMS,TRENTON,now,Adams Alley: now Trenton St
ADAMS,HARLEM,now,Adams St: now Harlem Ave
KENNEDY,ADAMS,was,Adams St: was Kennedy Lane
ADDISON,PLAT OF FRIENDSBURY OF FRIENDSBURY,see,"Addison Alley: see plat of ""Friendsbury"" of Friendsbury Place"
PLAT OF FRIENDSBURY OF FRIENDSBURY,ADDISON,see,"Addison Alley: see plat of ""Friendsbury"" of Friendsbury Place"
ADDISON,HOOD,now,Addison Alley: now Hood St
KIRBY,ADDISON,was,Addison Alley: was Kirby Lane
JASPER OR,AGATE,was,Agate Court: was Jasper Alley or Court
STEVENSON,AGATE,was,Agate Court: was Stevenson Court
AISQUITH,SAPP,now,Aisquith Court: now Sapp St
PART OF TYSON OR,ALBION,was,Albion Alley: was part of Tyson Alley or Court
ALEXANDER,HOLLINGSWORTH,now,Alexander Alley: now Hollingsworth St
MAY,ALEXANDER,was,Alexander Ave: was May Ave
ALICE ANN,FOSTER,now,Alice Ann St: now Foster Ave
ALICE ANN,MONTFORD,now,Alice Ann St: now Montford Ave
ALISANNA,ALICE ANN,see,Alisanna St: see Alice Ann St
ALICE ANN,ALISANNA,see,Alisanna St: see Alice Ann St
CUMBERLAND,ALLEGANY,was,Allegany Place: was Cumberland Place
ALLEN,CLASSEN,now,Allen Ave: now Classen Ave
ALLEN,WOODHALL,now,Allen St: now Woodhall St
ALLENDALE,CALLOWAY,became part of,Allendale Ave: became part of Calloway Ave
PACA,ALPACA,was,Alpaca Court: was Paca Court
ELK,ALTO,was,Alto Ave: was Elk Ave
ELM,ALTO,was,Alto Ave: was Elm Ave
PART OF SOUTH,AMERICAN,was,American Place: was part of South St
AMITY,KEERLE,now,Amity Court: now Keerle St
KEERLE,AMITY,was,Amity St: was Keerle Lane n.d. Atl 3
ANCHOR,ANDRE,now,Anchor St: now Andre St
ANDERSON,MCDONALD ANDRE,see,Anderson Court: see McDonald Court Andre St: n.d. M5379
MCDONALD ANDRE,ANDERSON,see,Anderson Court: see McDonald Court Andre St: n.d. M5379
ANDREW,HEAVER,now,Andrew Ave: now Heaver St
ANGLE,LAMONT,now,Angle Alley: now Lamont St
POINT,ANGLE,was,Angle Alley: was Point Lane
