street,extent
CITY OF BALTIMORE,
ABBOT,"Bond to Broadway, N of Chew"
ABRAHAM,from Harford av. N of Monu
ADAMS,"going west from Fremont, between"
ADDISON,"from High, N of Hillen"
AISQUITH,going north from 118 E Balti
THE,
AISQUITH CT,"from Aisquith, rear of Jack"
ALBEMARLE,going south from 11 Plow
ALBERT AL,from Neighbour
ALLEN,"going south from Beason, E of Lud"
ALLEN 'S AL,going east from 48 S Exeter
ALICE ANNA,going east from East Falls av
ALLUVION,going east from Ridgely Ostend
"AMITY, (N)",from 702 W Baltimore
"AMITY, (S)",from 679 W Baltimore
ANDRE,going south from Nicholson Towson
"ANN, (N)",going north from 332 E Baltimore To Northern av
"ANN, (S)",going south from 343 E Baltimore
ANTHONY,from Eden to Caroline Eager
ANTHONY CT E,of Central av
ARCADE AL,going west from 48 N Eutaw
ARCH,from 15 Raborg
ARCHER,"from Columbia, W of Scott"
ARMISTEAD LA,from Johnson to Light S of York
"ARTESIAN, WATERING",and BALLAST
WHF,foot of Hughes
ATLANTIC WHF,foot of Patapsco ton
BAKER,"from N Calhoun, N of Gol("
"BALTIMORE, (W)",going west fror Falls Falls
BALDERSTON,"from Grant to Charles, S of Lombard"
BANK,going east from 92 s Exeter
BANKERT'S AL,between Columbia and Haw
BANK LA,going west from 8 N Calvert
BARCLAY. LITTLE,from Truxton
BARNES,"from Bond to Broadway, S of Eager"
BARNET,going west from 54 N Charles
BARRE,going west from 154 Light-st. wharf
BARTLETT'S AL,from Chesnut
BAYARD,"from James, S of Wooster"
REAL'S CT,from 188 Orleans
BEAMS LA,"from Franklin, W of Pop pleton"
BEASON,"going east from Ludlow, S of Cuba"
BEDFORD AL,"from Camden, W of Charles"
BEL AIR AV,Gay-st. extended
BELL AL,"from Davis, S of Centre"
BELT'S,"WHF Fell,S of Thames"
BEL VID ERE,from Jones' Falls to Green mount av
BENJAMIN,"going south from Beason, E of Prosser"
BENTALOU,"going south from Hollins, W of Smallwood"
"BETHEL, (N)",going north from 266 E Bal timore
"BETHEL, (S)",going south from 271 E Bal timore
BETHEL CT,"from Saratoga, W of Gav"
BEVAN,from 80 Henrietta
"BIDDLE, (W)",going west from Jones Falls
"BIDDLE, (E)",going east from Jones Falls N of Chase
BIDDLE AL,"from Biddle, E of Pennsyl&quot;"
BIRCKHEAD'S CT,"rear of N Sharp, N of"
BLOCK,from Drawbridge to Thames
BLOODGOOD CT,"from Front, N of Fayette"
