,count
Potter st,56
East st,37
Chesnut al,32
Sugar al,26
Raborg st,23
S. Howard st,21
Wilk st,19
S. Eutaw st,18
Hulls lane,12
West st,12
Chesnut alley,8
Sugar alley,8
North st,8
X alley,7
X al,7
Carpenters al,7
Columbia st,7
Pleasant st,6
Wolf st,6
Hampstead st,6
Mechanics' court,5
Bounty al,5
Hawk st,4
st,3
Carpenters alley,3
E. Lombard st,3
N. Front st,3
Jelferson st,2
Ciiesnut al,2
Ivy al,2
Falls st,2
W. Balto. st,2
S. Howard,2
Bath st,2
Bounty alley,2
JefTerson st,2
Chesnut st,1
T)'sou al,1
Barry st,1
East .st,1
Peircesf,1
St. \iary st,1
S. Strawberry a),1
Tyson st. SCO 143 SMA,1
Hulls la,1
Marsh Market sp,1
i'leet st,1
N. .\mity st,1
McElderry's wf,1
Arijyle al,1
Osborn's court,1
AVayne st,1
S. Strawberry ai,1
AVest st,1
Potter st. alley,1
— st. VV. of William,1
Salisbuiy st,1
AVilliam st,1
Jeflerson st,1
Hughes st. OFF 141 PET,1
N. Front,1
Kicholson st,1
Salisbury al. MEA 140 MUR,1
Arocyle'al,1
Chesnut al. QUE i4d ROB,1
S. Strawberrj- al,1
S. Sjjring st,1
W. Balto,1
S. Strawberry al. Richel. 7 Peach al,1
Williain st,1
"Hulls lane, L., porter",1
N. Libertj* st,1
X. Bond st,1
Carpenters al. WIL 147 YOU,1
Sujjar al,1
Si. Mary,1
Woltal,1
S. Strawberry a!,1
Jefferson st. WEL 146 WiL,1
Slemmer'a al,1
S. Charle3,1
S. Strawberry a],1
Pleasant st. SNO 144 SUL,1
Tyson st. 19,1
Osborne's court,1
Tysou al,1
"Happy al— — Dawson, hackman",1
S. Strawberry al. Trio 145 Wal,1
AVilk st,1
Salisburj* al,1
Arcade al,1
N. Strawberrj' al,1
Black al,1
Happy a),1
S. Eutavv st,1
Jas])er st,1
Forrest st. LEE IS9 LYL,1
S. Stawberry al,1
S. Strawberry' al,1
Chesnul alley,1
Potter st. GAI 134 GOO,1
Sali>bury st,1
IN. Amity st,1
Biddie alley,1
14 Ann st,1
W. Bait,1
Penna. avenue,1
Columbia,1
Biddie al,1
Jeti'erson st,1
Richmond st,1
Chesnnt al,1
S. Eden st. DOR 133 FIE,1
Hillst,1
Che^uut alley,1
Jefierson st,1
S. Howard st. ';,1
Hampstead st. |,1
Happy al. I,1
Wolist,1
N. Howard st,1
S. Strawberry al. coo 132 DAU,1
Penna. av,1
Park si,1
"Potter st.""",1
Hanover Market sp,1
Chesnut al. BUT 131 CHA,1
"S. Stravvbeirj"" alley",1
Falls,1
Hanover Market space,1
Ensorst,1
Longst,1
Koss st,1
Apple a!,1
E.Lombard st,1
Hughes si,1
S. Chju-les st,1
Peirce st. JAO 13t JOH,1
State at,1
Montgoznery st,1
S. Front st,1
N. Shroeder st,1
S. Siiarp st,1
Tyson st. BOS 130 BRO,1
N. Sj)ringst,1
Chesnut aJ. HA^ 13G HOU,1
Eastst,1
Tj'son st,1
Happy allej',1
Tiight st,1
Welcome Mey,1
E. Lombard,1
Parkst,1
S. Springst,1
S. Strawberry. GUI 135 IIA.M,1
S. i Strawberry alley,1
Hill st. j,1
Wolf alley,1
Slemmersal,1
