ward,white,free_colored,slave,black_total,aggregate,black_pct
1,14545,433,54,487,15032,3.24
2,8666,628,46,674,9340,7.22
3,13478,1750,115,1865,15343,12.16
4,6553,385,72,457,7010,6.52
5,4416,903,41,944,5360,17.61
6,7916,1894,78,1972,9888,19.94
7,10984,1378,43,1421,12405,11.46
8,13575,753,59,812,14387,5.64
9,2864,188,92,280,3144,8.91
10,3712,553,50,603,4315,13.97
11,7829,2389,353,2742,10571,25.94
12,7793,1967,111,2078,9871,21.05
13,3691,691,91,782,4473,17.48
14,5744,1176,142,1318,7062,18.66
15,10101,2787,173,2960,13061,22.66
16,6675,1482,80,1562,8237,18.96
17,12784,2168,3,2171,14955,14.52
18,19837,1219,275,1494,21331,7.0
19,11944,1019,94,1113,13057,8.52
20,11413,1917,246,2163,13576,15.93
